,VAR,ID,COLON,INTEGER_TYPE,REAL_TYPE,STRING_TYPE,BOOLEAN_TYPE,INTEGER,REAL,STRING,BOOLEAN,ARRAY,OF,LEFT_BRACKET,RIGHT_BRACKET,DOUBLEDOT,SEMICOLON,FUNCTION,LEFT_PARENTHESIS,RIGHT_PARENTHESIS,FORWARD,BEGIN,END,DOT,IF,THEN,ELSE,WHILE,DO,REPEAT,UNTIL,ASSIGNMENT,EQUAL,NOT_EQUAL,LESS_OR_EQUAL,MORE_OR_EQUAL,LESS,MORE,NOT,AND,XOR,OR,MULTIPLY,DIVIDE,PLUS,MINUS,FILE_END,ERROR_TOKEN
_VARIABLES_,pop(); push(_VARIABLE_); push(VAR); ,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,pop();,Error();,Error();,Error();,pop();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_VARIABLE_,Error();,push(SEMICOLON); push(_TYPE_); push(_ARRAY_); push(COLON); push(ID);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,pop();,Error();,Error();,Error();,pop();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_TYPE_,Error();,Error();,Error();,pop(); push(INTEGER_TYPE);,pop(); push(REAL_TYPE);,pop(); push(STRING_TYPE);,pop(); push(BOOLEAN_TYPE);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_ARRAY_,Error();,Error();,Error();,pop();,pop();,pop();,pop();,Error();,Error();,Error();,Error();,pop(); push(OF); push(RIGHT_BRACKET); push(INTEGER); push(DOUBLEDOT); push(INTEGER); push(LEFT_BRACKET); push(ARRAY);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_FUNCTIONS_,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,push(SEMICOLON); push(_FUNCTION_BODY_); push(SEMICOLON); push(_TYPE_); push(COLON); push(RIGHT_PARENTHESIS); push(_PARAMS_); push(LEFT_PARENTHESIS); push(ID); push(FUNCTION);,Error();,Error();,Error();,pop();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_FUNCTION_BODY_,pop(); push(_SEQUENCE_); push(_VARIABLE_); push(VAR); ,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,pop(); push(FORWARD);,pop(); push(END); push(_INSTRUCTIONS_); push(BEGIN);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_PARAMS_,Error();,pop(); push(_NEXT_PARAM_); push(_TYPE_); push(COLON); push(ID);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,pop();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_NEXT_PARAM_,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,push(_TYPE_); push(COLON); push(ID);,Error();,Error();,pop();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_SEQUENCE_,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,pop(); push(END); push(_INSTRUCTIONS_); push(BEGIN);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_INSTRUCTIONS_,Error();,pop(); push(_NEXT_INSTRUCTION_); push(_INSRTUCTION_);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,pop();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_INSTRUCTION_,Error();,pop(); push(_EXPRESSION_); push(ASSIGNMENT); push(ID);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,pop(); push(END); push(_INSTRUCTIONS_); push(BEGIN);,Error();,Error();,pop(); push(_ELSEIF_); push(END); push(_INSTRUCTIONS_); push(BEGIN); push(THEN); push(_EXPRESSION_); push(IF);,Error();,Error();,pop(); push(END); push(_INSTRUCTIONS); push(BEGIN); push(DO); push(_EXPRESSION_); push(WHILE);,Error();,pop(); push(REPEAT); push(_INSTRUCTION_); push(_NEXT_INSTRUCTION_); push(UNTIL); push(_EXPRESSION_);,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_NEXT_INSTRUCTION_,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,push(_INSTRUCTION_); push(SEMICOLON);,Error();,Error();,Error();,Error();,Error();,pop();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,pop();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_EXPRESSION_,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_ELSEIF_,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
_OPERATOR_,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();,Error();
